Liste des organismes bénéficiaires du Fonds européen de développement régional et du Fonds social européen en Midi-Pyrénées,,,,,,,,,
"Nota bene : ces données concernent les projets pour lesquels le concours des Fonds européens a été approuvé en comité de programmation
Données actualisées au 18/10/2009",,,,,,,,,
Nom ou raison sociale du bénéficiaire,Intitulé du dossier,Montant du projet en coût total,Montant du cofinanceur européen,Fonds européen concerné,Région de localisation du dossier,Localisation,Programme,Catégorisation,Libellé catégorisation
31000EMPLOI.com,31000EMPLOI.com,"15,548 €","7,774 €",FONDS SOCIAL EUROPEEN,MIDI-PYRENEES,,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
3 D MANAGER SERVICES,Plan de formation des salariés 2008,"4,460 €","2,007 €",FONDS SOCIAL EUROPEEN,MIDI-PYRENEES,,Programme opérationnel national Fonds social européen,73,Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie...
A2P Association ,Dispostif Local d'Accompagnement,"90,000 €","40,000 €",FONDS SOCIAL EUROPEEN,MIDI-PYRENEES,HAUTE-GARONNE,Programme opérationnel national Fonds social européen,72,"Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
AB7 INDUSTRIES,Contrat d'Appui PME 2007-2009,"1,159,733 €","86,980 €",FEDER ,MIDI-PYRENEES,HAUTE-GARONNE / TOULOUSE / MONTGISCARD / DEYME,FEDER Compétitivité Régionale et Emploi,8,Autres investissements en entreprises
AB7 INDUSTRIES,Contrat d'Appui PME Innovation,"1,385,680 €","213,020 €",FEDER ,MIDI-PYRENEES,HAUTE-GARONNE / TOULOUSE / MONTGISCARD / DEYME,FEDER Compétitivité Régionale et Emploi,7,Investissements dans les entreprises directement liées à la recherche et l'innovation (...)
ABADIE GERARD SCIT ENTREPRISE,MACONNERIE,"6,842 €","3,079 €",FONDS SOCIAL EUROPEEN,MIDI-PYRENEES,HAUTE-GARONNE / TOULOUSE / TOULOUSE-13E / COLOMIERS,Programme opérationnel national Fonds social européen,73,Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie...
ABEXA SARL,PLAN DE FORMATION DES SALARIES 2009,"65,680 €","24,156 €",FONDS SOCIAL EUROPEEN,MIDI-PYRENEES,GERS,Programme opérationnel national Fonds social européen,73,Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie...
ABSOGER S.A.,CA INNOVATION 2008 - 2011,"282,061 €","35,000 €",FEDER ,MIDI-PYRENEES,TARN-ET-GARONNE / CASTELSARRASIN / CASTELSARRASIN-2E / LES BARTHES,FEDER Compétitivité Régionale et Emploi,7,Investissements dans les entreprises directement liées à la recherche et l'innovation (...)
ACCION COMPOSITE,PROJET PRODMECA - EPICEA 2008,"1,018,512 €","203,702 €",FEDER ,MIDI-PYRENEES,HAUTE-GARONNE / MURET / CARBONNE / CARBONNE,FEDER Compétitivité Régionale et Emploi,7,Investissements dans les entreprises directement liées à la recherche et l'innovation (...)
ACCUEIL ALZHEIMER 82,PROJET COLLECTIF PASSEPORT FORMATION 2007,353 €,159 €,FONDS SOCIAL EUROPEEN,MIDI-PYRENEES,TARN-ET-GARONNE / MONTAUBAN,Programme opérationnel national Fonds social européen,73,Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie...
