"name_des_begunstigten","bezeichnung_des_vorhabens","jahr_der_bewilligung","gewahrte_betrage","bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage"
"NL Süd - LBB","E2  L 164 n von HALLE-NEUSTADT - L 173, 2.TA , 2. BA-
Strecke    Genehmigung einer Ausnahme vom Verbot des
vorzeitigen Maßnahmebeginns - MLV vom 21.März 2007",2007,10000,
"NL Süd - LBB","L 209 BW 0020 ÜBER UNSTRUTKANAL LAUCHA",2008,14000,
"NL Süd - LBB","E5 L164n von HALLE-NEUSTADT - L173, 2.TA, BW 3 über
die DB AG         Genehmigung einer Ausnahme vom Verbot
des vorzeitigen Maßnahmebeginns - MLV vom 21. März
2007",2007,54700,
"MF Ref. EU-VB","Pressearbeit 2008-2010",2008,82176,
"NL West - LBB","L 66  OU QUEDLINBURG, TA 2 + 3",2008,100000,
"NL West - LBB","L 92 / L 240  Thale - Westerhausen",2008,100000,
"MF Ref. EU-VB","Sammelprojekt Programmabschluss der EFRE
Programmperiode 1994-1999 und der Gemienschaftsinitiative
KMU (EFRE16.01.3.08.00007)",2008,120000,
"NL West - LBB","L 75 Hoym - Ballenstedt",2008,150000,
"NL Süd - LBB","E7 L 164n von HALLE-NEUSTADT - L173, 2. TA,  BW 1a
WW                                    Genehmigung einer Ausnahme
vom Verbot des vorzeitigen Maßnahmebeginns - MLV vom
21. März 2007",2007,170000,
"Ministerium für Wirtschaft und Arbeit","Erstattungsfähige Bruttopersonalkosten Ressortkoordinatot/-
in Süd",2008,190000,
"NL Nord - LBB","L 9 OD Meseberg",2008,191700.8,
"NL Nord - LBB","L 1 OD Arendsee, 2.BA, 2.TA",2008,192596.1,
"NL Nord - LBB","L14 Radweg von Osterburg bis Düsedau",2008,277000,
"MF Ref. EU-VB","Sammelprojekt Programmabschluss der EFRE
Programmperiode 1994-1999 und der Gemeinschaftsinitiative",2008,280000,
,"KMU (EFRE46.1.03.08.00008)",2008,280000,
"NL Ost - LBB","L 126 nördlich Zahna",2008,300000,
"NL Nord - LBB","L 22 Kusey -  Röwitz",2008,323600,
"NL West  - LBB","L93 OD Wienrode  Harzstraße",2008,345474.1,
"NL West - LBB","L149 Crüchern- Biendorf",2008,362804.1,
"NL Nord - LBB","L 20 OD BRÜCHAU,   NK 3333 019 Stat.3,782 bis Stat 4,339",2008,380000,
"NOSA GmbH","Ausbau der Gleisanlage Heinrich-Julius-Straße",2008,427606.9,
"Ministerium für Wirtschaft und Arbeit","Erstattungsfähige Bruttopersonalkosten EFRE-Koordinator/-
in",2008,443333,
"NL Mitte - LBB","L 54 RW Hohenseeden - Güsen",2008,445269.1,
"NL West  - LBB","L  92 OD Blankenburg, Timmenröder Straße          NK 4231
016 + 1,932 bis NK 4231 016 + 2,539",2008,510059.1,
"NL Süd - LBB","E6 L 164n von HALLE-NEUSTADT - L 173, 2.TA, BW1 -
KOHLEGRABEN            Ausnahme vom Verbot des
vorzeitigen Maßnahmebeginns - MLV vom 21.März 2007",2007,573000,
"NL Ost - LBB","L123 Berkau - Straach",2008,750000,
"MF Ref. EU-VB","""Unterstützung der EU-VB bei der Organ. und Koordin. der
Öffentlichkeitsarbeit zu den Strukturfonds in FP 2007-2013""
(ESF54.01.6.07.00005)",2007,764550,
"NL Süd - LBB","E3  L164 n von HALLE-NEUSTADT - L 173, 2. TA, BW 4 +
BAUSTRAßE   Genehmigung einer Ausnahme vom Verbot
des vorzeitigen Maßnahmebeginns - MLV vom 21. März
2007",2007,980000,
"NL West - LBB","L 98 OD BENNECKENSTEIN, WERNIGERÖDER STRASSE",2008,1055000,
"NL Süd - LBB","L219 OD Allstedt,  Markt-Erdmannstraße",2007,1117528.4,
"NL Süd - LBB","L 145 HALLE - SENNEWITZ, FAHRBAHN + RADWEG",2007,1124786.2,
"NL West - LBB","L 76 Brücke bei Etgersleben, km 5,620    Ausnahme vom
Verbot des vorzeitigen Maßnahmebeginns MLV vom
21.03.2007",2007,1376378.8,
"NL Süd - LBB","L 172  VON BRÜCKE SCHWARZEICHE - K 2157
Ausnahme vom Verbot des vorzeitigen Maßnahmebeginns -
MLV v. 21.März 2007",2007,1683406,
"NL Mitte - LBB","E1 - L55 KG ZERBST -  DREWITZ , 1. BA  LÜBARS -
DREWITZ",2008,1850000,
