name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung, gewahrte_betrage ,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Schwerin",Kosten für Leistungen von Architekten und Ingenieuren,2007,"21,876,181.84",
"Land Mecklenburg-Vorpommern, vertreten durch 
Straßenbauamt Schwerin","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2007,"15,314,749.30",
Nordex Energy GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Windkraftanlagen einschließlich der Rotorblattfertigung in 18147 
Rostock, Große Rampe 3",2007,"15,064,100.00",
Landeshauptstadt Schwerin ,"Schlosspromenade Schwerin, Teilbereich 1 ""Grüne"" und 
""Platzartige Promenade""",2007,"14,807,444.83",
Hansestadt Rostock ,"Maritimes Gewerbegebiet im Seehafen Rostock, 3. Bauabschnitt",2008,"13,225,093.00",
Gemeinde Ostseebad Boltenhagen,"Erschließung Marina Boltenhagen (Lose 10, 12 und 23)",2007,"12,808,145.10",
"Kur- und Strandhotel Usedom GmbH & Co. 
Investitions - KG","Errichtung einer Betriebsstätte des Frendenverkehrs (Grandhotel 
mit Villa Meeresstrand, Mare Balticum und Seepavillon) in 17429 
Seebad Heringsdorf / OT Bansin, Strandpromenade 20, 21 und 23,
Landkreis Ostvorpommern",2007,"12,382,800.00",
"Land Mecklenburg Vorpommern vertreten durch 
das Straßenbauamt Güstrow","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2007,"12,124,823.72",
Caterpillar Motoren Rostock GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Diesel- und 
Gasmotoren in 18119 Rostock, Werftallee 13, Hansestadt Rostock",2008,"11,988,000.00",
ADAM NORD GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Druckerzeugnissen in 18299 Laage, Hans-Adam-Allee 1, 
Landkreis Güstrow",2008,"11,812,300.00",
Hansestadt Rostock ,"Seehafen Rostock - Neubau und Anpassung LP 35 und 36 auf Pier
II, Hafenbecken B",2008,"10,201,322.39",
"Land Mecklenburg-Vorpommern, vertreten durch 
Straßenbauamt Schwerin","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2008,"9,619,755.64",
"Land Mecklenburg-Vorpommern vertreten durch 
das Strassenbauamt Stralsund","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2007,"9,405,471.70",
Hansestadt Rostock ,"Neubau Liegeplatz 8 und Neugestaltung des Werftgeländes in 
Rostock-Warnemünde",2007,"8,067,039.31",
Modul- und Formbau GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Stahl- und 
Leichtmetallkonstruktionen in 18439 Stralsund, An der Werft 21, 
Hansestadt Stralsund",2008,"7,659,200.00",
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Schwerin",Kosten für Leistungen von Architekten und Ingenieuren,2008,"7,631,046.74"
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Neustrelitz","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2007,"7,520,369.21"
Strandhotel Schwerin GmbH ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Mulit-Media-
Hotel) in 19061 Schwerin, Am Strand 13, kreisfreie 
Landeshauptstadt Schwerin",2007,"7,307,500.00"
IT-College Putbus gGmbH ,"Umbau und Modernisierung des ÜBS IT-College Putbus, 1. 
Bauabschnitt",2008,"7,152,805.00"
EEW Special Pipe Constructions GmbH ,"Errichtung einer Betriebsstätte zur Herstellung von 
Großrohrkomponenten in 18134 Rostock, Am Eisenwerk 1, 
kreisfreie Hansestadt Rostock",2007,"7,033,100.00"
"Land Mecklenburg Vorpommern vertreten durch 
das Straßenbauamt Güstrow","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2008,"7,005,580.47"
Guan Chong Berhad Chief Financial Officer,"Errichtung einer Betriebsstätte zur Verarbeitung von Kakaobohnen 
in 17309 Pasewalk, Gemeindewiesenweg 77, Landkreis Uecker-
Randow",2007,"6,801,000.00"
Hansestadt Wismar ,"Seehafen Wismar - Hafenerweiterung 1. Bauabschnitt 
(Umstruktuierung Natronkai)",2008,"6,713,042.00"
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Stralsund",Kosten für Leistungen von Architekten und Ingenieuren,2007,"6,287,013.48"
Hansestadt Stralsund ,"Wiedernutzbarmachung Maritimes Industrie- und Gewerbegebiet 
Franzenshöhe, 2. Bauabschnitt",2008,"6,166,787.95"
"MAPLAN Maschinenfabrik und Anlagen für 
Kunststofftechnik Schwerin GmbH","Erweiterung einer Betriebsstätte zur überwiegenden Herstellung 
von Bauteilen, Maschinen und Anlagen für die 
Kunststoffverarbeitung in 19061 Schwerin, Werkstraße 206, 
Landeahauptstadt Schwerin",2008,"6,092,900.00"
adm Anklam GmbH ,"Errichtung einer Betriebsstätte zur Erbringung von Call Center-
Dienstleistungen in 17389 Anklam, Markt 7, Landkreis 
Ostvorpommern",2008,"5,908,300.00"
Hansestadt Rostock ,"Plus-Energie-Schule Rostock Reutershagen Amt für Schule und 
Sport, Frau Grüner",2008,"5,876,184.00"
environplasma Verwertungscenter GmbH ,"Errichtung einer Betriebsstätte für Edelmetall- und 
Wertstoffrecycling in 17098 Friedland, Pleetzer Weg 1-3, Landkreis
Mecklenburg-Strelitz",2007,"5,560,700.00"
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Neustrelitz","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2008,"5,420,020.55"
Schloß Krugsdorf GmbH ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Schloßhotel)
in 17309 Krugsdorf, Zerrenthiner Straße 2, Landkreis Uecker-
Randow",2007,"5,318,900.00"
Hotel Arkona - Dr. Hutter e.K. ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
18609 Ostseebad Binz, Proraer Str. 11, Dünenstr. und 
Strandpromenade 59, Landkreis Rügen",2007,"4,867,500.00"
"Land Mecklenburg-Vorpommern vertreten durch 
das Strassenbauamt Stralsund","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2008,"4,772,426.47"
TRW Airbag Systems GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Airbag-
Gasgeneratoren in 18299 Laage-Kronskamp, Daimler-Benz-Allee 
1, Landkreis Güstrow",2007,"4,721,000.00"
Hansestadt Wismar ,Seehafen Wismar - Gleisseitige Anbindung Liegeplätze 2 bis 9,2008,"4,684,682.00"
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Neustrelitz",Kosten für Leistungen von Architekten und Ingenieuren,2007,"4,675,664.64"
D+S communication center Rügen GmbH,"Errichtung einer Betriebsstätte zur Erbringung von 
Dienstleistungen (Call Center) in 18258 Lietzow, Boddenstraße 64, 
Landkreis Rügen",2008,"4,664,600.00"
Gemeinde Ostseebad Boltenhagen,Ufersicherung Marina Boltenhagen,2007,"4,590,748.06"
"Land Mecklenburg Vorpommern vertreten durch 
das Straßenbauamt Güstrow",Kosten für Leistungen von Architekten und Ingenieuren,2007,"4,575,536.32"
