Denominazione del Beneficiario ,Titolo del Progetto,Comune,"Anno di assegnazione 
del contributo 
pubbico","Contributo Pubblico 
Assegnato 
(Fesr+Stato+Regione)"
Comunità Montana Valtiberina,Recupero casolare Mafucio per centro ippoturistico,ANGHIARI,2009,248400.0
Comune di Castiglion Fiorentino,Struttura integrata area ex Foro Boario ,CASTIGLION FIORENTINO,2009,312300.0
Comune di Pratovecchio,"Fiera Casentino - Complesso polifunzionale per att. 
Turistiche ed espositive",PRATOVECCHIO,2009,482400.0
Comune di Anghiari,Restauro e riqualificazione de Le Logge,ANGHIARI,2009,210000.0
Comune di Sestino,Realizzazione marciapiedi Via Marche e Via Roma,SESTINO,2009,105312.0
Comune di Bibbiena,Riqualificazione viabilità centro storico Soci,BIBBIENA,2009,157240.0
Comune di Dicomano,Commerciando - riqualificazioone CCN centro storico,DICOMANO,2009,151096.0
Comune di Palazzuuolo sul Senio,Riqualificazione Viale Ubaldini e lungofiume,PALAZZUOLO SUL SENIO,2009,126258.0
Comune di Londa,Adeguamento funzionale Via Montebello nel CCN,LONDA,2009,48000.0
Comunità Montana del Mugello,Progetto sentieristica nel Mugello,VARI COMUNI DEL MUGELLO,2009,172283.0
Comune di San Piero a Sieve,Riqualificazione urbana nel CCN,SAN PIERO A SIEVE,2009,192500.0
Comune di Licciana Nardi,Costruzione ponte pedonale loc. Masero dentro CCN,LICCIANA NARRDI,2009,147682.0
Comune di Zeri,Riqualificazione polo turistico in loc. Passo dei Santi,ZERI,2009,235095.0
Comune di Fivizzano,Completamento costruzione ufficio IAT loc. Rometta,FIVIZZANO,2009,150000.0
Comune di Tresana,Parco pubblico loc. Barbarasco,TRESANA,2009,60000.0
Comune di Cinigiano,Riqualificazione del CCN  nel capoluogo,CINIGIANO,2009,210000.0
Comune di Castel del Piano,Miglioramento accessibilità CCN del capoluogo,CASTEL DEL PIANO,2009,209799.0
Comune di Castell'Azzaro,Area Mercatale di Selvena,CASTELL'AZZARA,2009,79620.0
Comune di Castel del Piano,Riqualificazione CCN di Montenero d'Orcia,CASTEL DEL PIANO,2009,80000.0
Comune di Barga,"Riqualificazione stazione FS Fornaci per sviluppo 
CCN  (II lotto)",BARGA,2009,38262.0
Comune di Minucciano,Riqualificazione del CCN  nel capoluogo,MINUCCIANO,2009,156991.0
Comune di Vergemoli,Interventi di qualificazione urbana per sviluppo CCN,VERGEMOLI,2009,197449.0
Comune di Castelnuovo Garfagnana,Riqaluficazione centro storico I lotto,CASTELNUOVO GARFAGNANA,2009,207381.0
Comune di Gallicano,Realizzazione area mercatale al servizio del CCN,GALLICANO,2009,210000.0
Comune di Marliana,"Interventi di qualificazione del commercioloc. 
Momigno e Goraiolo",MARLIANA,2009,68259.0
Comune di San Marcello Pistoiese,Realizzazione parcheggio a servizio del CCN,SAN MARCELLO PISTOIESE,2009,40740.0
Comune di Radicofani,Ristrutturazione di edificio comunale per Ostello,RADICOFANI,2009,149291.0
Comune di Vernio,Adeguamento funzionale Villa Gualtieri a Montepiano,VERNIO,2009,788578.0
