"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"MANTENIMIENTO TECNICO INDUSTRIAL-MAINTEC SL","Mejorar a empleabilidad de las personas desempleadas","405,53"
"MANTENIMIENTO TRES SL","Mejorar a empleabilidad de las personas desempleadas","1262,22"
"MANTENIMIENTO Y CONSERVACION DE RESIDENCIAS, S.L.","Mejorar a empleabilidad de las personas desempleadas","8137,4"
"MANTENIMIENTO Y CONSERVACION VIAL SL","Mejorar a empleabilidad de las personas desempleadas","1250,94"
"MANTENIMIENTO Y CONSTRUCCIONES QUINTO S L","Mejorar a empleabilidad de las personas desempleadas","691,72"
"MANTENIMIENTO Y LIMPIEZA DE INMUEBLES SLL","Mejorar a empleabilidad de las personas desempleadas","1513,34"
"MANTENIMIENTO Y LIMPIEZA ORTIZ SL","Mejorar a empleabilidad de las personas desempleadas",700
"MANTENIMIENTO Y LIMPIEZA SUPERMADE SL","Mejorar a empleabilidad de las personas desempleadas","1083,25"
"MANTENIMIENTO Y LIMPIEZAS COMERCIALES IMAGEN SL","Mejorar a empleabilidad de las personas desempleadas",4200
"MANTENIMIENTO Y LIMPIEZAS JUAN MANUEL SLU","Mejorar a empleabilidad de las personas desempleadas","1589,91"
"MANTENIMIENTO Y MONTAJES DE TIENDAS SL","Mejorar a empleabilidad de las personas desempleadas","600,03"
"MANTENIMIENTO Y MONTAJES ELIMCO SA","Mejorar a empleabilidad de las personas desempleadas","566,64"
"MANTENIMIENTO Y OBRAS CIVILES DEL SURESTE, SL","Mejorar a empleabilidad de las personas desempleadas","289,91"
"MANTENIMIENTO Y OBRAS SA","Mejorar a empleabilidad de las personas desempleadas",1400
"MANTENIMIENTO Y REFORMAS JARA SL","Mejorar a empleabilidad de las personas desempleadas","797,82"
"MANTENIMIENTO Y REPARACIONES DEL SUR SL","Mejorar a empleabilidad de las personas desempleadas","2766,58"
"MANTENIMIENTO Y SERVICIOS ASBYM SL","Mejorar a empleabilidad de las personas desempleadas","318,99"
"MANTENIMIENTO Y SERVICIOS BARRAGAN S.L.","Mejorar a empleabilidad de las personas desempleadas","5550,04"
"MANTENIMIENTO Y SERVICIOS BERNAL SL","Mejorar a empleabilidad de las personas desempleadas","755,47"
"MANTENIMIENTO Y SERVICIOS DE HIGIENIZACION BRISOL S.L.","Mejorar a empleabilidad de las personas desempleadas","1368,15"
"MANTENIMIENTO Y SERVICIOS MONTES TORRES, SL","Mejorar a empleabilidad de las personas desempleadas","918,04"
"MANTENIMIENTO Y SERVICIOS PATERNA SL","Mejorar a empleabilidad de las personas desempleadas","1063,19"
"MANTENIMIENTO Y SERVICIOS TECMAN, SL","Mejorar a empleabilidad de las personas desempleadas","2535,4"
"MANTENIMIENTO Y SERVICIOS TORRENUEVA SL","Mejorar a empleabilidad de las personas desempleadas","539,27"
"MANTENIMIENTO Y SOPORTE INFORMATICO SL","Mejorar a empleabilidad de las personas desempleadas","369,93"
"MANTENIMIENTO Y VENTILACION SA","Mejorar a empleabilidad de las personas desempleadas",600
"MANTENIMIENTO, SERENOS, CONSERJES, SERVICIOS, LIMPIEZAS","Mejorar a empleabilidad de las personas desempleadas","2573,42"
"MANTENIMIENTO, SERVICIOS Y EXPORTACIONES, S.L.","Mejorar a empleabilidad de las personas desempleadas","533,3"
"MANTENIMIENTOS ACTIVA SL.","Mejorar a empleabilidad de las personas desempleadas","6203,53"
"MANTENIMIENTOS ALISA SL","Mejorar a empleabilidad de las personas desempleadas","1630,55"
"MANTENIMIENTOS ALUNA SL","Mejorar a empleabilidad de las personas desempleadas","474,54"
"MANTENIMIENTOS ANFRA, S.L. EN CONSTITUCION","Mejorar a empleabilidad de las personas desempleadas","430,39"
"MANTENIMIENTOS APELLANIZ SL","Mejorar a empleabilidad de las personas desempleadas","263,8"
"MANTENIMIENTOS ARAGNEZ-GONZALEZ, S.L.","Mejorar a empleabilidad de las personas desempleadas","1439,33"
"MANTENIMIENTOS ASMAN S.L.","Mejorar a empleabilidad de las personas desempleadas","946,75"
"MANTENIMIENTOS BANDERAS, SL","Mejorar a empleabilidad de las personas desempleadas","120,39"
"MANTENIMIENTOS BEANSA S.L.","Mejorar a empleabilidad de las personas desempleadas","949,6"
"MANTENIMIENTOS BEDOYA, S.L.","Mejorar a empleabilidad de las personas desempleadas","339,94"
"MANTENIMIENTOS CASCALES, SL","Mejorar a empleabilidad de las personas desempleadas","859,4"
"MANTENIMIENTOS CORMAN SL","Mejorar a empleabilidad de las personas desempleadas","1355,95"
"MANTENIMIENTOS DE FRIO 2006, S.L.","Mejorar a empleabilidad de las personas desempleadas",1900
"MANTENIMIENTOS DE JARDINERIA J. FUERTES, SL","Mejorar a empleabilidad de las personas desempleadas","41,75"
"MANTENIMIENTOS EL PARAISO, S.L.","Mejorar a empleabilidad de las personas desempleadas","1294,88"
"MANTENIMIENTOS ELECTRICOS Y SERVICIOS INDUST. GETAFE SL","Mejorar a empleabilidad de las personas desempleadas","857,76"
"MANTENIMIENTOS ELECTRONICOS NAILEA, S.L.","Mejorar a empleabilidad de las personas desempleadas",220
"MANTENIMIENTOS ENERGETICOS INTEGRADOS SL","Mejorar a empleabilidad de las personas desempleadas","2207,89"
"MANTENIMIENTOS EUSKAIN SL","Mejorar a empleabilidad de las personas desempleadas","893,24"
"MANTENIMIENTOS GALLEGOS SA","Mejorar a empleabilidad de las personas desempleadas","1436,63"
"MANTENIMIENTOS GARPOR, S.L.","Mejorar a empleabilidad de las personas desempleadas","1277,2"
"MANTENIMIENTOS GIL SL","Mejorar a empleabilidad de las personas desempleadas","1274,94"
"MANTENIMIENTOS GINER Y MIRA, S.L.","Mejorar a empleabilidad de las personas desempleadas","3938,62"
"MANTENIMIENTOS IBERTELE SL","Mejorar a empleabilidad de las personas desempleadas",1050
